     Total   Exclusive  Set shared  Filename
  76.00KiB    76.00KiB           -  /var/lib/apparmor/cache/usr.lib.apache2.mpm-prefork.apache2
  24.00KiB    24.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.anvil
  44.00KiB    44.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.auth
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.config
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.deliver
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.dict
  40.00KiB    40.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.dovecot-auth
  80.00KiB    80.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.dovecot-lda
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.imap
  28.00KiB    28.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.imap-login
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.lmtp
  20.00KiB    20.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.log
  24.00KiB    24.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.managesieve
  28.00KiB    28.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.managesieve-login
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.pop3
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.pop3-login
  24.00KiB    24.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.ssl-params
  20.00KiB    20.00KiB           -  /var/lib/apparmor/cache/usr.lib.dovecot.stats
  72.00KiB    72.00KiB           -  /var/lib/apparmor/cache/usr.sbin.apache2
  40.00KiB    40.00KiB           -  /var/lib/apparmor/cache/usr.sbin.avahi-daemon
  68.00KiB    68.00KiB           -  /var/lib/apparmor/cache/usr.sbin.dnsmasq
  44.00KiB    44.00KiB           -  /var/lib/apparmor/cache/usr.sbin.dovecot
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.sbin.identd
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.sbin.mdnsd
  40.00KiB    40.00KiB           -  /var/lib/apparmor/cache/usr.sbin.nmbd
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.sbin.nscd
  40.00KiB    40.00KiB           -  /var/lib/apparmor/cache/usr.sbin.ntpd
  48.00KiB    48.00KiB           -  /var/lib/apparmor/cache/usr.sbin.smbd
  72.00KiB    72.00KiB           -  /var/lib/apparmor/cache/usr.sbin.smbldap-useradd
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.sbin.traceroute
  40.00KiB    40.00KiB           -  /var/lib/apparmor/cache/usr.sbin.winbindd
  36.00KiB    36.00KiB           -  /var/lib/apparmor/cache/usr.bin.locate
  24.00KiB    24.00KiB           -  /var/lib/apparmor/cache/usr.bin.updatedb
   1.46MiB     1.46MiB           -  /var/lib/apparmor/cache
   1.46MiB     1.46MiB           -  /var/lib/apparmor
     0.00B       0.00B           -  /var/lib/nfs/rpc_pipefs
     0.00B       0.00B           -  /var/lib/nfs/sm
     0.00B       0.00B           -  /var/lib/nfs/sm.bak
     0.00B       0.00B           -  /var/lib/nfs/v4recovery
     0.00B       0.00B           -  /var/lib/nfs
     0.00B       0.00B           -  /var/lib/polkit
     0.00B       0.00B           -  /var/lib/AccountsService/icons
   4.00KiB     4.00KiB           -  /var/lib/AccountsService/users/milhar
   4.00KiB     4.00KiB           -  /var/lib/AccountsService/users
   4.00KiB     4.00KiB           -  /var/lib/AccountsService
     0.00B       0.00B           -  /var/lib/smartmontools/smartd_opts
   2.62MiB     2.62MiB           -  /var/lib/smartmontools/attrlog.ST9500325AS-6VE1NP48.ata.csv
   2.14MiB     2.14MiB           -  /var/lib/smartmontools/attrlog.Hitachi_HTS541680J9SA00-SB2204KGDXDXTE.ata.csv
   4.00KiB     4.00KiB           -  /var/lib/smartmontools/smartd.ST9500325AS-6VE1NP48.ata.state~
   4.00KiB     4.00KiB           -  /var/lib/smartmontools/smartd.ST9500325AS-6VE1NP48.ata.state
   4.00KiB     4.00KiB           -  /var/lib/smartmontools/smartd.Hitachi_HTS541680J9SA00-SB2204KGDXDXTE.ata.state~
   4.00KiB     4.00KiB           -  /var/lib/smartmontools/smartd.Hitachi_HTS541680J9SA00-SB2204KGDXDXTE.ata.state
   4.77MiB     4.77MiB           -  /var/lib/smartmontools
 212.00KiB   212.00KiB           -  /var/lib/nscd/passwd
 212.00KiB   212.00KiB           -  /var/lib/nscd/group
 212.00KiB   212.00KiB           -  /var/lib/nscd/services
 212.00KiB   212.00KiB           -  /var/lib/nscd/netgroup
 848.00KiB   848.00KiB           -  /var/lib/nscd
     0.00B       0.00B           -  /var/lib/wicked/duid.xml
     0.00B       0.00B           -  /var/lib/wicked/iaid.xml
     0.00B       0.00B           -  /var/lib/wicked/lease-eth0-dhcp-ipv4.xml
     0.00B       0.00B           -  /var/lib/wicked
     0.00B       0.00B           -  /var/lib/usb_modeswitch
     0.00B       0.00B           -  /var/lib/xdm/authdir/authfiles
     0.00B       0.00B           -  /var/lib/xdm/authdir
     0.00B       0.00B           -  /var/lib/xdm
     0.00B       0.00B           -  /var/lib/chrony/drift
     0.00B       0.00B           -  /var/lib/chrony
     0.00B       0.00B           -  /var/lib/udisks2
     0.00B       0.00B           -  /var/lib/net-snmp
     0.00B       0.00B           -  /var/lib/sshd
     0.00B       0.00B           -  /var/lib/samba/lock/msg.lock/32349
     0.00B       0.00B           -  /var/lib/samba/lock/msg.lock
     0.00B       0.00B           -  /var/lib/samba/lock/names.tdb
 432.00KiB   432.00KiB           -  /var/lib/samba/lock/gencache_notrans.tdb
 432.00KiB   432.00KiB           -  /var/lib/samba/lock
     0.00B       0.00B           -  /var/lib/samba/private/msg.sock
     0.00B       0.00B           -  /var/lib/samba/private
     0.00B       0.00B           -  /var/lib/samba/drivers/IA64
     0.00B       0.00B           -  /var/lib/samba/drivers/W32ALPHA
     0.00B       0.00B           -  /var/lib/samba/drivers/W32MIPS
     0.00B       0.00B           -  /var/lib/samba/drivers/W32PPC
     0.00B       0.00B           -  /var/lib/samba/drivers/W32X86
     0.00B       0.00B           -  /var/lib/samba/drivers/WIN40
     0.00B       0.00B           -  /var/lib/samba/drivers/x64
     0.00B       0.00B           -  /var/lib/samba/drivers
     0.00B       0.00B           -  /var/lib/samba/netlogon
     0.00B       0.00B           -  /var/lib/samba/profiles
     0.00B       0.00B           -  /var/lib/samba/winbindd_privileged
  40.00KiB    40.00KiB           -  /var/lib/samba/gencache.tdb
 472.00KiB   472.00KiB           -  /var/lib/samba
     0.00B       0.00B           -  /var/lib/YaST2/hooks/installation
     0.00B       0.00B           -  /var/lib/YaST2/hooks/README.md
     0.00B       0.00B           -  /var/lib/YaST2/hooks
     0.00B       0.00B           -  /var/lib/YaST2/remaining
     0.00B       0.00B           -  /var/lib/YaST2/srcremaining
   4.00KiB     4.00KiB           -  /var/lib/YaST2/system_packages_repos.yaml
     0.00B       0.00B           -  /var/lib/YaST2/exported_add_ons_configuration
     0.00B       0.00B           -  /var/lib/YaST2/users.ycp
     0.00B       0.00B           -  /var/lib/YaST2/installation_disabled_steps
     0.00B       0.00B           -  /var/lib/YaST2/installation_disabled_proposals
     0.00B       0.00B           -  /var/lib/YaST2/installation_disabled_subproposals
     0.00B       0.00B           -  /var/lib/YaST2/backup_boot_sectors/_dev_sdb
     0.00B       0.00B           -  /var/lib/YaST2/backup_boot_sectors/_dev_disk_by-id_ata-Hitachi_HTS541680J9SA00_SB2204KGDXDXTE-part1
     0.00B       0.00B           -  /var/lib/YaST2/backup_boot_sectors
     0.00B       0.00B           -  /var/lib/YaST2/cookies
   1.21MiB     1.21MiB           -  /var/lib/YaST2/scanner_database.ycp
     0.00B       0.00B           -  /var/lib/YaST2/active_scanners.ycp
     0.00B       0.00B           -  /var/lib/YaST2/active_scanner_backends.ycp
     0.00B       0.00B           -  /var/lib/YaST2/autodetected_scanners.ycp
     0.00B       0.00B           -  /var/lib/YaST2/failed_packages
   1.22MiB     1.22MiB           -  /var/lib/YaST2
     0.00B       0.00B           -  /var/lib/PackageKit
     0.00B       0.00B           -  /var/lib/dhcp/dhclient.leases
     0.00B       0.00B           -  /var/lib/dhcp
     0.00B       0.00B           -  /var/lib/dhcp6/dhclient6.leases
     0.00B       0.00B           -  /var/lib/dhcp6
     0.00B       0.00B           -  /var/lib/lifecycle
     0.00B       0.00B           -  /var/lib/os-prober
   4.00KiB     4.00KiB           -  /var/lib/plymouth/boot-duration
   4.00KiB     4.00KiB           -  /var/lib/plymouth
     0.00B       0.00B           -  /var/lib/autoinstall/autoconf
     0.00B       0.00B           -  /var/lib/autoinstall
     0.00B       0.00B           -  /var/lib/lightdm/.Xauthority
   4.00KiB     4.00KiB           -  /var/lib/lightdm/.cache/lightdm-gtk-greeter/state
   4.00KiB     4.00KiB           -  /var/lib/lightdm/.cache/lightdm-gtk-greeter
     0.00B       0.00B           -  /var/lib/lightdm/.cache/mesa_shader_cache/index
     0.00B       0.00B           -  /var/lib/lightdm/.cache/mesa_shader_cache
   4.00KiB     4.00KiB           -  /var/lib/lightdm/.cache
     0.00B       0.00B           -  /var/lib/lightdm/.config/ibus/bus
     0.00B       0.00B           -  /var/lib/lightdm/.config/ibus
     0.00B       0.00B           -  /var/lib/lightdm/.config
   4.00KiB     4.00KiB           -  /var/lib/lightdm
     0.00B       0.00B           -  /var/lib/lightdm-data/milhar
     0.00B       0.00B           -  /var/lib/lightdm-data/lightdm
     0.00B       0.00B           -  /var/lib/lightdm-data
   4.00KiB     4.00KiB           -  /var/lib/NetworkManager/NetworkManager-intern.conf
   4.00KiB     4.00KiB           -  /var/lib/NetworkManager/secret_key
   8.00KiB     8.00KiB           -  /var/lib/NetworkManager/dhclient-1a972ed4-582d-3782-b774-1c16f7632564-eth0.lease
   4.00KiB     4.00KiB           -  /var/lib/NetworkManager/dhclient-7ffedd6b-00e9-421a-9be6-afb532b929f1-wlan0.lease
   4.00KiB     4.00KiB           -  /var/lib/NetworkManager/seen-bssids
   4.00KiB     4.00KiB           -  /var/lib/NetworkManager/NetworkManager.state
   4.00KiB     4.00KiB           -  /var/lib/NetworkManager/dhclient-eth0.conf
   4.00KiB     4.00KiB           -  /var/lib/NetworkManager/timestamps
  36.00KiB    36.00KiB           -  /var/lib/NetworkManager
     0.00B       0.00B           -  /var/lib/ebtables/lock
     0.00B       0.00B           -  /var/lib/ebtables
  17.02MiB    17.02MiB           -  /var/lib/mlocate/mlocate.db
  17.02MiB    17.02MiB           -  /var/lib/mlocate
     0.00B       0.00B           -  /var/lib/srvGeoClue
   8.00KiB     8.00KiB           -  /var/lib/upower/history-rate-F82--22-46.dat
   4.00KiB     4.00KiB           -  /var/lib/upower/history-charge-F82--22-46.dat
   8.00KiB     8.00KiB           -  /var/lib/upower/history-time-full-F82--22-46.dat
   4.00KiB     4.00KiB           -  /var/lib/upower/history-time-empty-F82--22-46.dat
  24.00KiB    24.00KiB           -  /var/lib/upower
     0.00B       0.00B           -  /var/lib/firebird/secdb
     0.00B       0.00B           -  /var/lib/firebird
     0.00B       0.00B           -  /var/lib/bluetooth
     0.00B       0.00B           -  /var/lib/btrfs/scrub.status.3ca9f537-b795-46b0-bd87-00a37cf58ce1
     0.00B       0.00B           -  /var/lib/btrfs
     0.00B       0.00B           -  /var/lib/dict
   4.00KiB     4.00KiB           -  /var/lib/sgml/CATALOG.iso_ent
   4.00KiB     4.00KiB           -  /var/lib/sgml
     0.00B       0.00B           -  /var/lib/lensfun-updates
     0.00B       0.00B           -  /var/lib/mysql-files
     0.00B       0.00B           -  /var/lib/wwwrun
     0.00B       0.00B           -  /var/lib/php7
  26.54MiB    26.54MiB           -  /var/lib
     0.00B       0.00B           -  /var/cache/zypp/solv/@System/cookie
   4.58MiB     4.58MiB           -  /var/cache/zypp/solv/@System/solv
 136.00KiB   136.00KiB           -  /var/cache/zypp/solv/@System/solv.idx
   4.71MiB     4.71MiB           -  /var/cache/zypp/solv/@System
  14.31MiB    14.31MiB           -  /var/cache/zypp/solv/openSUSE-Leap-15.1-1/solv
   1.51MiB     1.51MiB           -  /var/cache/zypp/solv/openSUSE-Leap-15.1-1/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/openSUSE-Leap-15.1-1/cookie
  15.82MiB    15.82MiB           -  /var/cache/zypp/solv/openSUSE-Leap-15.1-1
  40.00KiB    40.00KiB           -  /var/cache/zypp/solv/repo-non-oss/solv
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-non-oss/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-non-oss/cookie
  40.00KiB    40.00KiB           -  /var/cache/zypp/solv/repo-non-oss
  14.31MiB    14.31MiB           -  /var/cache/zypp/solv/repo-oss/solv
   1.51MiB     1.51MiB           -  /var/cache/zypp/solv/repo-oss/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-oss/cookie
  15.82MiB    15.82MiB           -  /var/cache/zypp/solv/repo-oss
   4.00KiB     4.00KiB           -  /var/cache/zypp/solv/libdvdcss/solv
     0.00B       0.00B           -  /var/cache/zypp/solv/libdvdcss/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/libdvdcss/cookie
   4.00KiB     4.00KiB           -  /var/cache/zypp/solv/libdvdcss
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-d69bdaa9/solv
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-d69bdaa9/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-d69bdaa9/cookie
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-d69bdaa9
   6.40MiB     6.40MiB           -  /var/cache/zypp/solv/repo-debug/solv
 864.00KiB   864.00KiB           -  /var/cache/zypp/solv/repo-debug/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-debug/cookie
   7.24MiB     7.24MiB           -  /var/cache/zypp/solv/repo-debug
  12.00KiB    12.00KiB           -  /var/cache/zypp/solv/repo-debug-non-oss/solv
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-debug-non-oss/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-debug-non-oss/cookie
  12.00KiB    12.00KiB           -  /var/cache/zypp/solv/repo-debug-non-oss
   3.54MiB     3.54MiB           -  /var/cache/zypp/solv/repo-source/solv
 528.00KiB   528.00KiB           -  /var/cache/zypp/solv/repo-source/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-source/cookie
   4.05MiB     4.05MiB           -  /var/cache/zypp/solv/repo-source
  24.00KiB    24.00KiB           -  /var/cache/zypp/solv/repo-source-non-oss/solv
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-source-non-oss/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-source-non-oss/cookie
  24.00KiB    24.00KiB           -  /var/cache/zypp/solv/repo-source-non-oss
  52.00KiB    52.00KiB           -  /var/cache/zypp/solv/devel_languages_misc/solv
   8.00KiB     8.00KiB           -  /var/cache/zypp/solv/devel_languages_misc/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/devel_languages_misc/cookie
  60.00KiB    60.00KiB           -  /var/cache/zypp/solv/devel_languages_misc
  88.00KiB    88.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-8418e308/solv
  12.00KiB    12.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-8418e308/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-8418e308/cookie
 100.00KiB   100.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-8418e308
  76.00KiB    76.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-c086698c/solv
   8.00KiB     8.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-c086698c/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-c086698c/cookie
  84.00KiB    84.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-c086698c
  24.00KiB    24.00KiB           -  /var/cache/zypp/solv/teamviewer/solv
   4.00KiB     4.00KiB           -  /var/cache/zypp/solv/teamviewer/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/teamviewer/cookie
  28.00KiB    28.00KiB           -  /var/cache/zypp/solv/teamviewer
   4.00KiB     4.00KiB           -  /var/cache/zypp/solv/repo-debug-update-non-oss/solv
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-debug-update-non-oss/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-debug-update-non-oss/cookie
   4.00KiB     4.00KiB           -  /var/cache/zypp/solv/repo-debug-update-non-oss
  44.00KiB    44.00KiB           -  /var/cache/zypp/solv/repo-update-non-oss/solv
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-update-non-oss/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-update-non-oss/cookie
  44.00KiB    44.00KiB           -  /var/cache/zypp/solv/repo-update-non-oss
  44.00KiB    44.00KiB           -  /var/cache/zypp/solv/NVIDIA/solv
     0.00B       0.00B           -  /var/cache/zypp/solv/NVIDIA/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/NVIDIA/cookie
  44.00KiB    44.00KiB           -  /var/cache/zypp/solv/NVIDIA
  96.00KiB    96.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-d700112c/solv
  12.00KiB    12.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-d700112c/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-d700112c/cookie
 108.00KiB   108.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-d700112c
   4.00KiB     4.00KiB           -  /var/cache/zypp/solv/sublime-text/solv
     0.00B       0.00B           -  /var/cache/zypp/solv/sublime-text/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/sublime-text/cookie
   4.00KiB     4.00KiB           -  /var/cache/zypp/solv/sublime-text
 140.00KiB   140.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-186d4456/solv
  24.00KiB    24.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-186d4456/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-186d4456/cookie
 164.00KiB   164.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-186d4456
   4.00KiB     4.00KiB           -  /var/cache/zypp/solv/google-chrome/solv
     0.00B       0.00B           -  /var/cache/zypp/solv/google-chrome/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/google-chrome/cookie
   4.00KiB     4.00KiB           -  /var/cache/zypp/solv/google-chrome
1004.00KiB  1004.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-c5ce7ff5/solv
 192.00KiB   192.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-c5ce7ff5/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-c5ce7ff5/cookie
   1.17MiB     1.17MiB           -  /var/cache/zypp/solv/http-download.opensuse.org-c5ce7ff5
 532.00KiB   532.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-df2db9bf/solv
  76.00KiB    76.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-df2db9bf/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-df2db9bf/cookie
 608.00KiB   608.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-df2db9bf
  15.68MiB    15.68MiB           -  /var/cache/zypp/solv/http-download.opensuse.org-f66d5dc3/solv
   1.09MiB     1.09MiB           -  /var/cache/zypp/solv/http-download.opensuse.org-f66d5dc3/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-f66d5dc3/cookie
  16.77MiB    16.77MiB           -  /var/cache/zypp/solv/http-download.opensuse.org-f66d5dc3
 144.00KiB   144.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-fd6217c9/solv
  20.00KiB    20.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-fd6217c9/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/http-download.opensuse.org-fd6217c9/cookie
 164.00KiB   164.00KiB           -  /var/cache/zypp/solv/http-download.opensuse.org-fd6217c9
   2.09MiB     2.09MiB           -  /var/cache/zypp/solv/packman/solv
 280.00KiB   280.00KiB           -  /var/cache/zypp/solv/packman/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/packman/cookie
   2.37MiB     2.37MiB           -  /var/cache/zypp/solv/packman
   5.39MiB     5.39MiB           -  /var/cache/zypp/solv/repo-debug-update/solv
 712.00KiB   712.00KiB           -  /var/cache/zypp/solv/repo-debug-update/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-debug-update/cookie
   6.09MiB     6.09MiB           -  /var/cache/zypp/solv/repo-debug-update
  15.68MiB    15.68MiB           -  /var/cache/zypp/solv/repo-update/solv
   1.09MiB     1.09MiB           -  /var/cache/zypp/solv/repo-update/solv.idx
     0.00B       0.00B           -  /var/cache/zypp/solv/repo-update/cookie
  16.77MiB    16.77MiB           -  /var/cache/zypp/solv/repo-update
  92.27MiB    92.27MiB           -  /var/cache/zypp/solv
 104.00KiB   104.00KiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/noarch/perl-MailTools-2.19-lp151.2.1.noarch.rpm
 104.00KiB   104.00KiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/noarch
  60.00KiB    60.00KiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/x86_64/tree-1.7.0-lp151.2.3.x86_64.rpm
  36.00KiB    36.00KiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/x86_64/Mesa-demo-x-8.3.0-lp151.2.3.x86_64.rpm
  36.00KiB    36.00KiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/x86_64/libImath-2_2-23-2.2.1-lp151.2.3.x86_64.rpm
  16.00KiB    16.00KiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/x86_64/libIexMath-2_2-23-2.2.1-lp151.2.3.x86_64.rpm
  28.00KiB    28.00KiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/x86_64/perl-XML-Dumper-0.81-lp151.2.1.x86_64.rpm
 140.00KiB   140.00KiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/x86_64/perl-Cpanel-JSON-XS-4.02-lp151.2.3.x86_64.rpm
  40.00KiB    40.00KiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/x86_64/libtiger5-0.3.4-lp151.2.2.x86_64.rpm
   5.53MiB     5.53MiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/x86_64/vtk-java-8.1.2-lp151.2.15.x86_64.rpm
  36.00KiB    36.00KiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/x86_64/vtk-qt-8.1.2-lp151.2.15.x86_64.rpm
   5.91MiB     5.91MiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1/x86_64
   6.02MiB     6.02MiB           -  /var/cache/zypp/packages/openSUSE-Leap-15.1-1
     0.00B       0.00B           -  /var/cache/zypp/packages/repo-update/x86_64
     0.00B       0.00B           -  /var/cache/zypp/packages/repo-update/noarch
     0.00B       0.00B           -  /var/cache/zypp/packages/repo-update
 624.00KiB   624.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libfdk-aac2-2.0.1-pm151.1.1.x86_64.rpm
 144.00KiB   144.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libfaad2-2.9.2-pm151.4.1.x86_64.rpm
  72.00KiB    72.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libvo-amrwbenc0-0.1.3-pm151.1.3.x86_64.rpm
  40.00KiB    40.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libfaac0-1.30-pm151.1.2.x86_64.rpm
 100.00KiB   100.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libopencore-amrnb0-0.1.5-pm151.1.5.x86_64.rpm
 212.00KiB   212.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libxvidcore4-1.3.7-pm151.1.1.x86_64.rpm
  96.00KiB    96.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libdca0-0.0.7-pm151.1.1.x86_64.rpm
  56.00KiB    56.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libopencore-amrwb0-0.1.5-pm151.1.5.x86_64.rpm
  80.00KiB    80.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libvo-aacenc0-0.1.3-pm151.1.5.x86_64.rpm
 188.00KiB   188.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libquicktime0-1.2.4cvs20150223-pm151.5.12.x86_64.rpm
 240.00KiB   240.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libavutil56-4.2.1-pm151.2.5.9.x86_64.rpm
 220.00KiB   220.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libavutil55-3.4.5-pm151.4.9.x86_64.rpm
   1.06MiB     1.06MiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libx265-192-3.4-pm151.1.1.x86_64.rpm
 208.00KiB   208.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libde265-0-1.0.5-pm151.1.2.x86_64.rpm
  68.00KiB    68.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/librtmp1-2.4.20151223.fa8646d-pm151.1.7.x86_64.rpm
  40.00KiB    40.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libgstbadallocators-1_0-0-1.12.5-pm151.4.14.x86_64.rpm
  60.00KiB    60.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libgstbadbase-1_0-0-1.12.5-pm151.4.14.x86_64.rpm
  48.00KiB    48.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libgsturidownloader-1_0-0-1.12.5-pm151.4.14.x86_64.rpm
  44.00KiB    44.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libgstphotography-1_0-0-1.12.5-pm151.4.14.x86_64.rpm
 140.00KiB   140.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libgstcodecparsers-1_0-0-1.12.5-pm151.4.14.x86_64.rpm
  84.00KiB    84.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libgstmpegts-1_0-0-1.12.5-pm151.4.14.x86_64.rpm
  48.00KiB    48.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libgstbasecamerabinsrc-1_0-0-1.12.5-pm151.4.14.x86_64.rpm
  40.00KiB    40.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libgstwayland-1_0-0-1.12.5-pm151.4.14.x86_64.rpm
 160.00KiB   160.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/gstreamer-plugins-ugly-1.12.5-pm151.3.10.x86_64.rpm
   2.55MiB     2.55MiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libxine2-1.2.10-pm151.160.1.x86_64.rpm
 256.00KiB   256.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libsox3-14.4.2-pm151.5.8.x86_64.rpm
 104.00KiB   104.00KiB           -  /var/cache/zypp/packages/packman/Essentials/x86_64/libswresample3-4.2.1-pm151.2.5.9.x86_64.rpm
