     Total   Exclusive  Set shared  Filename
 232.00KiB   232.00KiB           -  /var/log/NetworkManager-20200701.xz
 308.00KiB   308.00KiB           -  /var/log/messages-20200709.xz
   4.27MiB     4.27MiB           -  /var/log/messages
 304.00KiB   304.00KiB           -  /var/log/messages-20201005.xz
  19.60MiB    19.60MiB           -  /var/log/pk_backend_zypp-1
   8.68MiB     8.68MiB           -  /var/log/pk_backend_zypp
  56.00KiB    56.00KiB           -  /var/log/boot.omsg
  60.00KiB    60.00KiB           -  /var/log/boot.msg
  64.00KiB    64.00KiB           -  /var/log/Xorg.0.log.old
  60.00KiB    60.00KiB           -  /var/log/Xorg.0.log
 107.14MiB   107.14MiB           -  /var/log
     0.00B       0.00B           -  /var/lib/zypp/LastDistributionFlavor
     0.00B       0.00B           -  /var/lib/zypp/AnonymousUniqueId
     0.00B       0.00B           -  /var/lib/zypp/RequestedLocales
   8.00KiB     8.00KiB           -  /var/lib/zypp/AutoInstalled
   8.00KiB     8.00KiB           -  /var/lib/zypp
     0.00B       0.00B           -  /var/lib/GeoIP
     0.00B       0.00B           -  /var/lib/empty
   4.00KiB     4.00KiB           -  /var/lib/misc/random-seed
   8.00KiB     8.00KiB           -  /var/lib/misc/Makefile
     0.00B       0.00B           -  /var/lib/misc/logrotate.status
  12.00KiB    12.00KiB           -  /var/lib/misc
     0.00B       0.00B           -  /var/lib/alternatives/pip
     0.00B       0.00B           -  /var/lib/alternatives/openSUSE-default.xml
     0.00B       0.00B           -  /var/lib/alternatives/unzip
     0.00B       0.00B           -  /var/lib/alternatives/funzip
     0.00B       0.00B           -  /var/lib/alternatives/unzipsfx
     0.00B       0.00B           -  /var/lib/alternatives/zipgrep
     0.00B       0.00B           -  /var/lib/alternatives/ftp
     0.00B       0.00B           -  /var/lib/alternatives/rmt
     0.00B       0.00B           -  /var/lib/alternatives/ksh
     0.00B       0.00B           -  /var/lib/alternatives/awk
     0.00B       0.00B           -  /var/lib/alternatives/mount.ntfs
     0.00B       0.00B           -  /var/lib/alternatives/dbus-launch
     0.00B       0.00B           -  /var/lib/alternatives/gem2rpm
     0.00B       0.00B           -  /var/lib/alternatives/gem2rpm-0.10.1
     0.00B       0.00B           -  /var/lib/alternatives/gem2rpm.ruby2.5
     0.00B       0.00B           -  /var/lib/alternatives/gtk-update-icon-cache
     0.00B       0.00B           -  /var/lib/alternatives/icewm
     0.00B       0.00B           -  /var/lib/alternatives/default-displaymanager
     0.00B       0.00B           -  /var/lib/alternatives/lightdm-default-greeter.desktop
     0.00B       0.00B           -  /var/lib/alternatives/libcblas.so.3
